SKU,location_code,warehouse,batch,available_units,expiry_date,reorder_level,last_updated
MED0004,LOC0001,WH-AP-001,B00040153,348,12-06-2027,30,06-08-2026 09:00
MED0095,LOC0001,WH-AP-001,B00950287,2396,22-10-2027,20,06-08-2026 09:00
MED0036,LOC0001,WH-AP-001,B00360358,747,11-03-2027,50,06-08-2026 09:00
MED0032,LOC0001,WH-AP-001,B00320483,643,09-11-2027,20,06-08-2026 09:00
MED0029,LOC0001,WH-AP-001,B00290547,46,03-01-2029,30,06-08-2026 09:00
MED0018,LOC0001,WH-AP-001,B00180691,103,11-02-2028,20,06-08-2026 09:00
MED0113,LOC0001,WH-AP-001,B01130799,363,04-08-2027,50,06-08-2026 09:00
MED0014,LOC0001,WH-AP-001,B00140830,175,12-07-2027,20,06-08-2026 09:00
MED0087,LOC0001,WH-AP-001,B00870997,655,16-06-2027,75,06-08-2026 09:00
MED0108,LOC0001,WH-AP-001,B01081014,794,28-09-2026,50,06-08-2026 09:00
MED0070,LOC0001,WH-AP-001,B00701150,67,06-06-2028,50,06-08-2026 09:00
MED0012,LOC0001,WH-AP-001,B00121268,405,23-08-2028,30,06-08-2026 09:00
MED0076,LOC0001,WH-AP-001,B00761343,252,08-05-2028,30,06-08-2026 09:00
MED0055,LOC0001,WH-AP-001,B00551427,597,16-06-2027,100,06-08-2026 09:00
MED0005,LOC0001,WH-AP-001,B00051529,773,08-07-2026,100,06-08-2026 09:00
MED0114,LOC0001,WH-AP-001,B01141658,432,03-12-2027,30,06-08-2026 09:00
MED0103,LOC0001,WH-AP-001,B01031711,541,23-05-2028,100,06-08-2026 09:00
MED0028,LOC0001,WH-AP-001,B00281892,549,30-12-2028,20,06-08-2026 09:00
MED0030,LOC0001,WH-AP-001,B00301943,3780,07-11-2026,50,06-08-2026 09:00
MED0065,LOC0001,WH-AP-001,B00652048,519,05-08-2028,100,06-08-2026 09:00
MED0078,LOC0001,WH-AP-001,B00782179,156,18-04-2027,100,06-08-2026 09:00
MED0099,LOC0001,WH-AP-001,B00992224,613,23-11-2026,100,06-08-2026 09:00
MED0072,LOC0001,WH-AP-001,B00722382,314,08-07-2027,50,06-08-2026 09:00
MED0026,LOC0001,WH-AP-001,B00262478,3990,21-12-2028,20,06-08-2026 09:00
MED0084,LOC0001,WH-AP-001,B00842543,3946,22-04-2027,30,06-08-2026 09:00
MED0104,LOC0001,WH-AP-001,B01042698,433,09-05-2028,100,06-08-2026 09:00
MED0054,LOC0001,WH-AP-001,B00542757,408,30-08-2028,30,06-08-2026 09:00
MED0110,LOC0001,WH-AP-001,B01102818,462,21-08-2026,75,06-08-2026 09:00
MED0058,LOC0001,WH-AP-001,B00582938,0,28-06-2028,50,06-08-2026 09:00
MED0102,LOC0001,WH-AP-001,B01023014,4584,11-08-2026,20,06-08-2026 09:00
MED0112,LOC0001,WH-AP-001,B01123137,2974,15-03-2028,50,06-08-2026 09:00
MED0001,LOC0001,WH-AP-001,B00013270,4338,10-07-2027,100,06-08-2026 09:00
MED0025,LOC0002,WH-AP-002,B00250181,465,17-10-2028,50,06-08-2026 09:00
MED0013,LOC0002,WH-AP-002,B00130284,303,02-01-2027,75,06-08-2026 09:00
MED0113,LOC0002,WH-AP-002,B01130371,3284,13-09-2026,100,06-08-2026 09:00
MED0085,LOC0002,WH-AP-002,B00850420,543,07-04-2028,100,06-08-2026 09:00
MED0056,LOC0002,WH-AP-002,B00560561,2278,02-07-2027,30,06-08-2026 09:00
MED0046,LOC0002,WH-AP-002,B00460615,583,04-07-2028,20,06-08-2026 09:00
MED0055,LOC0002,WH-AP-002,B00550750,4692,22-04-2028,100,06-08-2026 09:00
MED0053,LOC0002,WH-AP-002,B00530860,733,02-08-2027,50,06-08-2026 09:00
MED0060,LOC0002,WH-AP-002,B00600919,307,12-12-2028,30,06-08-2026 09:00
MED0094,LOC0002,WH-AP-002,B00941078,576,18-01-2027,20,06-08-2026 09:00
MED0007,LOC0002,WH-AP-002,B00071141,135,13-01-2027,30,06-08-2026 09:00
MED0087,LOC0002,WH-AP-002,B00871248,448,24-10-2028,50,06-08-2026 09:00
MED0084,LOC0002,WH-AP-002,B00841380,669,17-09-2028,100,06-08-2026 09:00
MED0083,LOC0002,WH-AP-002,B00831443,106,21-03-2027,50,06-08-2026 09:00
MED0112,LOC0002,WH-AP-002,B01121546,760,09-08-2027,20,06-08-2026 09:00
MED0008,LOC0002,WH-AP-002,B00081643,351,14-08-2028,100,06-08-2026 09:00
MED0052,LOC0002,WH-AP-002,B00521745,52,03-09-2026,100,06-08-2026 09:00
MED0105,LOC0002,WH-AP-002,B01051843,0,17-08-2028,20,06-08-2026 09:00
MED0044,LOC0002,WH-AP-002,B00441911,564,31-05-2028,30,06-08-2026 09:00
MED0014,LOC0002,WH-AP-002,B00142014,4830,15-05-2028,20,06-08-2026 09:00
MED0032,LOC0002,WH-AP-002,B00322149,151,16-12-2026,50,06-08-2026 09:00
MED0114,LOC0002,WH-AP-002,B01142297,40,07-06-2027,50,06-08-2026 09:00
MED0093,LOC0002,WH-AP-002,B00932389,362,25-12-2027,30,06-08-2026 09:00
MED0069,LOC0002,WH-AP-002,B00692462,242,04-05-2027,30,06-08-2026 09:00
MED0058,LOC0002,WH-AP-002,B00582595,340,30-12-2027,20,06-08-2026 09:00
MED0018,LOC0002,WH-AP-002,B00182614,718,01-10-2026,30,06-08-2026 09:00
MED0108,LOC0002,WH-AP-002,B01082738,471,25-06-2027,75,06-08-2026 09:00
MED0024,LOC0002,WH-AP-002,B00242845,408,14-01-2027,20,06-08-2026 09:00
MED0036,LOC0002,WH-AP-002,B00362952,409,06-05-2028,50,06-08-2026 09:00
MED0106,LOC0002,WH-AP-002,B01063014,3069,02-08-2027,20,06-08-2026 09:00
MED0097,LOC0002,WH-AP-002,B00973165,353,21-09-2027,20,06-08-2026 09:00
MED0010,LOC0002,WH-AP-002,B00103234,118,16-06-2028,100,06-08-2026 09:00
MED0057,LOC0002,WH-AP-002,B00573378,0,19-04-2028,50,06-08-2026 09:00
MED0071,LOC0002,WH-AP-002,B00713489,71,08-10-2027,30,06-08-2026 09:00
MED0100,LOC0002,WH-AP-002,B01003574,127,07-09-2027,50,06-08-2026 09:00
MED0104,LOC0002,WH-AP-002,B01043680,334,02-09-2027,50,06-08-2026 09:00
MED0070,LOC0002,WH-AP-002,B00703732,680,27-09-2028,30,06-08-2026 09:00
MED0002,LOC0002,WH-AP-002,B00023848,415,04-11-2026,100,06-08-2026 09:00
MED0012,LOC0002,WH-AP-002,B00123969,593,29-09-2027,50,06-08-2026 09:00
MED0031,LOC0002,WH-AP-002,B00314031,218,26-11-2028,75,06-08-2026 09:00
MED0022,LOC0002,WH-AP-002,B00224121,679,13-10-2027,20,06-08-2026 09:00
MED0107,LOC0002,WH-AP-002,B01074213,230,03-04-2027,30,06-08-2026 09:00
MED0063,LOC0002,WH-AP-002,B00634319,486,29-12-2028,20,06-08-2026 09:00
MED0062,LOC0002,WH-AP-002,B00624499,644,08-11-2028,75,06-08-2026 09:00
MED0028,LOC0002,WH-AP-002,B00284510,249,20-09-2026,75,06-08-2026 09:00
MED0098,LOC0002,WH-AP-002,B00984676,224,16-10-2028,20,06-08-2026 09:00
MED0099,LOC0002,WH-AP-002,B00994768,0,08-03-2027,75,06-08-2026 09:00
MED0074,LOC0002,WH-AP-002,B00744886,683,29-05-2028,30,06-08-2026 09:00
MED0049,LOC0002,WH-AP-002,B00494974,453,09-11-2028,50,06-08-2026 09:00
MED0001,LOC0002,WH-AP-002,B00015070,561,15-04-2027,75,06-08-2026 09:00
MED0050,LOC0002,WH-AP-002,B00505176,253,14-08-2027,75,06-08-2026 09:00
MED0081,LOC0003,WH-AP-003,B00810178,478,02-08-2028,75,06-08-2026 09:00
MED0031,LOC0003,WH-AP-003,B00310220,606,01-12-2026,20,06-08-2026 09:00
MED0036,LOC0003,WH-AP-003,B00360358,3891,28-07-2027,75,06-08-2026 09:00
MED0057,LOC0003,WH-AP-003,B00570445,334,27-11-2027,50,06-08-2026 09:00
MED0010,LOC0003,WH-AP-003,B00100579,83,10-12-2028,75,06-08-2026 09:00
MED0092,LOC0003,WH-AP-003,B00920693,358,13-01-2027,20,06-08-2026 09:00
MED0037,LOC0003,WH-AP-003,B00370789,253,24-11-2026,20,06-08-2026 09:00
MED0113,LOC0003,WH-AP-003,B01130837,484,03-06-2028,30,06-08-2026 09:00
MED0035,LOC0003,WH-AP-003,B00350987,785,16-07-2028,75,06-08-2026 09:00
MED0043,LOC0003,WH-AP-003,B00431084,167,22-02-2027,20,06-08-2026 09:00
MED0041,LOC0003,WH-AP-003,B00411160,589,23-11-2027,20,06-08-2026 09:00
MED0070,LOC0003,WH-AP-003,B00701223,4828,10-07-2027,30,06-08-2026 09:00
MED0011,LOC0003,WH-AP-003,B00111315,614,05-06-2028,50,06-08-2026 09:00
MED0018,LOC0003,WH-AP-003,B00181492,677,05-04-2028,50,06-08-2026 09:00
MED0020,LOC0003,WH-AP-003,B00201523,0,19-03-2028,50,06-08-2026 09:00
MED0030,LOC0003,WH-AP-003,B00301629,650,17-02-2028,75,06-08-2026 09:00
MED0050,LOC0003,WH-AP-003,B00501788,534,07-08-2027,75,06-08-2026 09:00
MED0089,LOC0003,WH-AP-003,B00891885,476,21-11-2028,100,06-08-2026 09:00
MED0100,LOC0003,WH-AP-003,B01001945,251,31-01-2027,50,06-08-2026 09:00
MED0091,LOC0003,WH-AP-003,B00912058,475,18-09-2028,75,06-08-2026 09:00
MED0028,LOC0003,WH-AP-003,B00282172,0,09-05-2027,50,06-08-2026 09:00
MED0009,LOC0003,WH-AP-003,B00092299,264,06-07-2028,30,06-08-2026 09:00
MED0054,LOC0003,WH-AP-003,B00542340,529,30-01-2027,50,06-08-2026 09:00
MED0053,LOC0003,WH-AP-003,B00532492,776,05-03-2028,75,06-08-2026 09:00
MED0105,LOC0003,WH-AP-003,B01052561,17,21-08-2026,75,06-08-2026 09:00
MED0103,LOC0003,WH-AP-003,B01032677,595,23-05-2028,30,06-08-2026 09:00
MED0060,LOC0003,WH-AP-003,B00602799,763,30-10-2027,50,06-08-2026 09:00
MED0109,LOC0003,WH-AP-003,B01092834,257,11-11-2028,75,06-08-2026 09:00
MED0008,LOC0003,WH-AP-003,B00082933,4194,10-10-2028,50,06-08-2026 09:00
MED0027,LOC0003,WH-AP-003,B00273077,495,29-06-2028,30,06-08-2026 09:00
MED0087,LOC0003,WH-AP-003,B00873139,102,03-09-2027,100,06-08-2026 09:00
MED0098,LOC0003,WH-AP-003,B00983245,14,13-03-2027,50,06-08-2026 09:00
MED0075,LOC0003,WH-AP-003,B00753391,566,13-03-2027,20,06-08-2026 09:00
MED0003,LOC0003,WH-AP-003,B00033471,2050,27-02-2028,75,06-08-2026 09:00
MED0074,LOC0003,WH-AP-003,B00743524,52,07-03-2028,75,06-08-2026 09:00
MED0049,LOC0003,WH-AP-003,B00493616,75,06-10-2028,20,06-08-2026 09:00
MED0062,LOC0003,WH-AP-003,B00623741,576,30-01-2027,30,06-08-2026 09:00
MED0001,LOC0003,WH-AP-003,B00013889,426,21-01-2029,20,06-08-2026 09:00
MED0046,LOC0003,WH-AP-003,B00463948,389,31-01-2028,30,06-08-2026 09:00
MED0039,LOC0003,WH-AP-003,B00394088,312,04-01-2027,100,06-08-2026 09:00
MED0083,LOC0003,WH-AP-003,B00834194,212,01-08-2027,20,06-08-2026 09:00
MED0084,LOC0003,WH-AP-003,B00844210,177,13-04-2027,20,06-08-2026 09:00
MED0069,LOC0003,WH-AP-003,B00694339,608,07-12-2026,75,06-08-2026 09:00
MED0097,LOC0003,WH-AP-003,B00974497,719,15-01-2027,50,06-08-2026 09:00
MED0029,LOC0003,WH-AP-003,B00294564,640,25-05-2027,30,06-08-2026 09:00
MED0063,LOC0003,WH-AP-003,B00634628,663,24-08-2026,20,06-08-2026 09:00
MED0071,LOC0003,WH-AP-003,B00714782,0,05-07-2028,20,06-08-2026 09:00
MED0106,LOC0003,WH-AP-003,B01064861,479,20-10-2028,50,06-08-2026 09:00
MED0056,LOC0003,WH-AP-003,B00564915,505,08-07-2028,50,06-08-2026 09:00
MED0072,LOC0003,WH-AP-003,B00725039,618,05-02-2027,75,06-08-2026 09:00
MED0004,LOC0003,WH-AP-003,B00045144,21,22-09-2028,100,06-08-2026 09:00
MED0025,LOC0003,WH-AP-003,B00255276,0,28-02-2028,100,06-08-2026 09:00
MED0022,LOC0003,WH-AP-003,B00225391,185,24-01-2028,75,06-08-2026 09:00
MED0090,LOC0003,WH-AP-003,B00905451,481,11-10-2027,75,06-08-2026 09:00
MED0044,LOC0003,WH-AP-003,B00445546,337,25-03-2028,20,06-08-2026 09:00
MED0052,LOC0003,WH-AP-003,B00525650,563,14-07-2026,75,06-08-2026 09:00
MED0042,LOC0004,WH-AP-004,B00420173,120,10-04-2027,20,06-08-2026 09:00
MED0015,LOC0004,WH-AP-004,B00150270,279,12-03-2028,50,06-08-2026 09:00
MED0099,LOC0004,WH-AP-004,B00990375,148,09-07-2028,30,06-08-2026 09:00
MED0052,LOC0004,WH-AP-004,B00520453,282,02-01-2028,30,06-08-2026 09:00
MED0066,LOC0004,WH-AP-004,B00660585,2,05-09-2027,100,06-08-2026 09:00
MED0106,LOC0004,WH-AP-004,B01060678,501,04-02-2028,100,06-08-2026 09:00
MED0001,LOC0004,WH-AP-004,B00010768,565,25-11-2027,75,06-08-2026 09:00
MED0085,LOC0004,WH-AP-004,B00850839,714,01-12-2027,50,06-08-2026 09:00
MED0070,LOC0004,WH-AP-004,B00700958,0,26-10-2028,75,06-08-2026 09:00
MED0060,LOC0004,WH-AP-004,B00601014,667,25-03-2028,75,06-08-2026 09:00
MED0053,LOC0004,WH-AP-004,B00531166,604,14-02-2027,30,06-08-2026 09:00
MED0007,LOC0004,WH-AP-004,B00071262,467,30-06-2026,20,06-08-2026 09:00
MED0025,LOC0004,WH-AP-004,B00251360,3085,13-10-2028,30,06-08-2026 09:00
MED0067,LOC0004,WH-AP-004,B00671450,690,28-11-2027,20,06-08-2026 09:00
MED0047,LOC0004,WH-AP-004,B00471590,36,02-07-2027,75,06-08-2026 09:00
MED0080,LOC0004,WH-AP-004,B00801691,764,13-08-2026,50,06-08-2026 09:00
MED0097,LOC0004,WH-AP-004,B00971715,710,03-12-2026,20,06-08-2026 09:00
MED0064,LOC0004,WH-AP-004,B00641828,300,19-01-2028,50,06-08-2026 09:00
MED0081,LOC0004,WH-AP-004,B00811931,579,07-05-2027,30,06-08-2026 09:00
MED0057,LOC0004,WH-AP-004,B00572073,3566,08-07-2027,30,06-08-2026 09:00
MED0103,LOC0004,WH-AP-004,B01032142,472,17-02-2028,100,06-08-2026 09:00
MED0027,LOC0004,WH-AP-004,B00272279,476,27-09-2028,20,06-08-2026 09:00
MED0035,LOC0004,WH-AP-004,B00352391,3415,06-09-2027,30,06-08-2026 09:00
MED0071,LOC0004,WH-AP-004,B00712459,467,26-05-2027,75,06-08-2026 09:00
MED0017,LOC0004,WH-AP-004,B00172547,3562,14-06-2028,75,06-08-2026 09:00
MED0037,LOC0004,WH-AP-004,B00372645,0,14-12-2027,50,06-08-2026 09:00
MED0095,LOC0004,WH-AP-004,B00952787,702,24-12-2026,20,06-08-2026 09:00
MED0063,LOC0004,WH-AP-004,B00632887,293,27-06-2027,75,06-08-2026 09:00
MED0016,LOC0004,WH-AP-004,B00162994,194,28-09-2028,50,06-08-2026 09:00
MED0004,LOC0004,WH-AP-004,B00043066,642,16-09-2027,30,06-08-2026 09:00
MED0096,LOC0004,WH-AP-004,B00963147,749,04-10-2026,20,06-08-2026 09:00
MED0078,LOC0004,WH-AP-004,B00783279,179,17-01-2029,50,06-08-2026 09:00
MED0031,LOC0004,WH-AP-004,B00313371,279,25-07-2027,50,06-08-2026 09:00
MED0021,LOC0004,WH-AP-004,B00213419,346,26-02-2028,50,06-08-2026 09:00
MED0040,LOC0004,WH-AP-004,B00403596,231,14-11-2028,30,06-08-2026 09:00
MED0091,LOC0004,WH-AP-004,B00913660,570,21-01-2029,75,06-08-2026 09:00
MED0002,LOC0004,WH-AP-004,B00023796,126,22-09-2028,20,06-08-2026 09:00
MED0079,LOC0004,WH-AP-004,B00793896,653,22-02-2027,50,06-08-2026 09:00
MED0104,LOC0004,WH-AP-004,B01043951,634,31-05-2028,30,06-08-2026 09:00
