snapshot_date,tenant_id,warehouse_id,sku_id,batch_number,manufacture_date,expiry_date,available_quantity,reserved_quantity,blocked_quantity,unit_cost,currency,storage_condition_code,last_movement_at
2026-07-26,TEN-ACME-PHARMA,WH-CHENNAI,SKU-PARA-650,B2456,2026-01-27,2026-09-09,2450,82,0,18.5,INR,AMBIENT,2026-07-18T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-BENGALURU,SKU-PARA-650,B5119,2026-01-27,2027-11-22,1903,36,0,18.5,INR,AMBIENT,2026-07-09T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-HYDERABAD,SKU-PARA-650,B4209,2026-01-27,2027-02-28,1495,38,0,18.5,INR,AMBIENT,2026-07-21T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-HYDERABAD,SKU-PARA-650,B6176,2026-01-27,2027-09-13,994,31,0,18.5,INR,AMBIENT,2026-07-08T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-HYDERABAD,SKU-PARA-650,B1151,2026-01-27,2026-10-08,1686,74,0,18.5,INR,AMBIENT,2026-07-09T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-CHENNAI,SKU-PHA-002,B3861,2026-01-27,2027-05-30,2952,5,0,121.36,INR,AMBIENT,2026-07-08T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-CHENNAI,SKU-PHA-002,B3330,2026-01-27,2027-10-20,2343,27,0,121.36,INR,AMBIENT,2026-07-26T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-CHENNAI,SKU-PHA-002,B1335,2026-01-27,2026-12-25,1322,80,0,121.36,INR,AMBIENT,2026-07-23T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-BENGALURU,SKU-PHA-002,B4727,2026-01-27,2027-05-12,1403,89,0,121.36,INR,AMBIENT,2026-07-07T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-HYDERABAD,SKU-PHA-002,B1061,2026-01-27,2027-10-30,2644,95,0,121.36,INR,AMBIENT,2026-07-13T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-HYDERABAD,SKU-PHA-002,B4651,2026-01-27,2027-01-08,1680,11,0,121.36,INR,AMBIENT,2026-07-23T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-CHENNAI,SKU-PHA-003,B7379,2026-01-27,2027-08-20,2284,43,0,54.87,INR,AMBIENT,2026-07-07T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-CHENNAI,SKU-PHA-003,B9155,2026-01-27,2027-07-12,2223,11,0,54.87,INR,AMBIENT,2026-07-26T00:00:00Z
